"","tax_sp_level","phylum","order","species","family","genus","specificEpithet","a_habit","nbe_records"
"7472","Crotalaria sertulifera","Magnoliophyta","Fabales","Crotalaria sertulifera","Fabaceae","Crotalaria","sertulifera","herb","5"
"7473","Crotalaria sessilis","Magnoliophyta","Fabales","Crotalaria sessilis","Fabaceae","Crotalaria","sessilis","herb","16"
"7474","Crotalaria shirensis","Magnoliophyta","Fabales","Crotalaria shirensis","Fabaceae","Crotalaria","shirensis","herb","13"
"7475","Crotalaria simulans","Magnoliophyta","Fabales","Crotalaria simulans","Fabaceae","Crotalaria","simulans","shrub","1"
"7476","Crotalaria singulifloroides","Magnoliophyta","Fabales","Crotalaria singulifloroides","Fabaceae","Crotalaria","singulifloroides","herb","1"
"7477","Crotalaria somalensis","Magnoliophyta","Fabales","Crotalaria somalensis","Fabaceae","Crotalaria","somalensis","herb","13"
"7478","Crotalaria somalensis","Magnoliophyta","Fabales","Crotalaria somalensis subsp. fusula","Fabaceae","Crotalaria","somalensis","herb","13"
"7479","Crotalaria somalensis","Magnoliophyta","Fabales","Crotalaria somalensis subsp. somalensis","Fabaceae","Crotalaria","somalensis","herb","13"
"7480","Crotalaria sparsifolia","Magnoliophyta","Fabales","Crotalaria sparsifolia","Fabaceae","Crotalaria","sparsifolia","shrub","9"
"7481","Crotalaria spartea","Magnoliophyta","Fabales","Crotalaria spartea","Fabaceae","Crotalaria","spartea","herb","16"
"7482","Crotalaria spathulato-foliolata","Magnoliophyta","Fabales","Crotalaria spathulato-foliolata","Fabaceae","Crotalaria","spathulato-foliolata","herb","5"
"7483","Crotalaria sphaerocarpa","Magnoliophyta","Fabales","Crotalaria sphaerocarpa","Fabaceae","Crotalaria","sphaerocarpa","herb","19"
"7484","Crotalaria sphaerocarpa","Magnoliophyta","Fabales","Crotalaria sphaerocarpa subsp. sphaerocarpa","Fabaceae","Crotalaria","sphaerocarpa","herb","19"
"7485","Crotalaria spinosa","Magnoliophyta","Fabales","Crotalaria spinosa","Fabaceae","Crotalaria","spinosa","herb","78"
"7486","Crotalaria staneriana","Magnoliophyta","Fabales","Crotalaria staneriana","Fabaceae","Crotalaria","staneriana","shrub","1"
"7487","Crotalaria stenopoda","Magnoliophyta","Fabales","Crotalaria stenopoda","Fabaceae","Crotalaria","stenopoda","","11"
"7488","Crotalaria stenoptera","Magnoliophyta","Fabales","Crotalaria stenoptera","Fabaceae","Crotalaria","stenoptera","","2"
"7489","Crotalaria stenorhampha","Magnoliophyta","Fabales","Crotalaria stenorhampha","Fabaceae","Crotalaria","stenorhampha","herb","13"
"7490","Crotalaria stenothyrsa","Magnoliophyta","Fabales","Crotalaria stenothyrsa","Fabaceae","Crotalaria","stenothyrsa","","2"
"7491","Crotalaria steudneri","Magnoliophyta","Fabales","Crotalaria steudneri","Fabaceae","Crotalaria","steudneri","herb","4"
"7492","Crotalaria stolzii","Magnoliophyta","Fabales","Crotalaria stolzii","Fabaceae","Crotalaria","stolzii","herb","2"
"7493","Crotalaria stuhlmannii","Magnoliophyta","Fabales","Crotalaria stuhlmannii var. crassicarpa","Fabaceae","Crotalaria","stuhlmannii","herb","5"
"7494","Crotalaria stuhlmannii","Magnoliophyta","Fabales","Crotalaria stuhlmannii var. acuticarinata","Fabaceae","Crotalaria","stuhlmannii","herb","5"
"7495","Crotalaria stuhlmannii","Magnoliophyta","Fabales","Crotalaria stuhlmannii","Fabaceae","Crotalaria","stuhlmannii","herb","5"
"7496","Crotalaria subcalvata","Magnoliophyta","Fabales","Crotalaria subcalvata","Fabaceae","Crotalaria","subcalvata","","1"
"7497","Crotalaria subcapitata","Magnoliophyta","Fabales","Crotalaria subcapitata subsp. subcapitata","Fabaceae","Crotalaria","subcapitata","herb","78"
"7498","Crotalaria subcapitata","Magnoliophyta","Fabales","Crotalaria subcapitata","Fabaceae","Crotalaria","subcapitata","herb","78"
"7499","Crotalaria subcapitata","Magnoliophyta","Fabales","Crotalaria subcapitata subsp. oreadum","Fabaceae","Crotalaria","subcapitata","herb","78"
"7500","Crotalaria subsessilis","Magnoliophyta","Fabales","Crotalaria subsessilis","Fabaceae","Crotalaria","subsessilis","herb","6"
"7501","Crotalaria subtilis","Magnoliophyta","Fabales","Crotalaria subtilis","Fabaceae","Crotalaria","subtilis","herb","1"
"7502","Crotalaria szaferana","Magnoliophyta","Fabales","Crotalaria szaferana","Fabaceae","Crotalaria","szaferana","shrub","2"
"7503","Crotalaria tamboensis","Magnoliophyta","Fabales","Crotalaria tamboensis","Fabaceae","Crotalaria","tamboensis","herb","1"
"7504","Crotalaria tchibangensis","Magnoliophyta","Fabales","Crotalaria tchibangensis","Fabaceae","Crotalaria","tchibangensis","herb","1"
"7505","Crotalaria tenuipedicellata","Magnoliophyta","Fabales","Crotalaria tenuipedicellata","Fabaceae","Crotalaria","tenuipedicellata","herb","16"
"7506","Crotalaria tenuirama","Magnoliophyta","Fabales","Crotalaria tenuirama","Fabaceae","Crotalaria","tenuirama","herb","5"
"7507","Crotalaria tenuirostrata","Magnoliophyta","Fabales","Crotalaria tenuirostrata","Fabaceae","Crotalaria","tenuirostrata","herb","1"
"7508","Crotalaria teretifolia","Magnoliophyta","Fabales","Crotalaria teretifolia","Fabaceae","Crotalaria","teretifolia","herb","31"
"7509","Crotalaria tetraptera","Magnoliophyta","Fabales","Crotalaria tetraptera","Fabaceae","Crotalaria","tetraptera","herb","2"
"7510","Crotalaria thomasii","Magnoliophyta","Fabales","Crotalaria thomasii","Fabaceae","Crotalaria","thomasii","","1"
"7511","Crotalaria torrei","Magnoliophyta","Fabales","Crotalaria torrei","Fabaceae","Crotalaria","torrei","herb","5"
"7512","Crotalaria tsavoana","Magnoliophyta","Fabales","Crotalaria tsavoana","Fabaceae","Crotalaria","tsavoana","shrub","7"
"7513","Crotalaria uguenensis","Magnoliophyta","Fabales","Crotalaria uguenensis","Fabaceae","Crotalaria","uguenensis","herb","17"
"7514","Crotalaria ukambensis","Magnoliophyta","Fabales","Crotalaria ukambensis","Fabaceae","Crotalaria","ukambensis","herb","21"
"7515","Crotalaria umbellifera","Magnoliophyta","Fabales","Crotalaria umbellifera","Fabaceae","Crotalaria","umbellifera","herb","5"
"7516","Crotalaria uncinata","Magnoliophyta","Fabales","Crotalaria uncinata","Fabaceae","Crotalaria","uncinata","herb","5"
"7517","Crotalaria uncinella","Magnoliophyta","Fabales","Crotalaria uncinella subsp. uncinella","Fabaceae","Crotalaria","uncinella","shrub","1"
"7518","Crotalaria vagans","Magnoliophyta","Fabales","Crotalaria vagans","Fabaceae","Crotalaria","vagans","shrub","1"
"7519","Crotalaria valida","Magnoliophyta","Fabales","Crotalaria valida","Fabaceae","Crotalaria","valida","herb","5"
"7520","Crotalaria vallicola","Magnoliophyta","Fabales","Crotalaria vallicola","Fabaceae","Crotalaria","vallicola","herb","23"
"7521","Crotalaria vandenbrandii","Magnoliophyta","Fabales","Crotalaria vandenbrandii","Fabaceae","Crotalaria","vandenbrandii","herb","8"
"7522","Crotalaria vanderystii","Magnoliophyta","Fabales","Crotalaria vanderystii","Fabaceae","Crotalaria","vanderystii","","4"
"7523","Crotalaria vanmeelii","Magnoliophyta","Fabales","Crotalaria vanmeelii","Fabaceae","Crotalaria","vanmeelii","herb","1"
"7524","Crotalaria varicosa","Magnoliophyta","Fabales","Crotalaria varicosa","Fabaceae","Crotalaria","varicosa","herb","1"
"7525","Crotalaria variegata","Magnoliophyta","Fabales","Crotalaria variegata","Fabaceae","Crotalaria","variegata","herb","9"
"7526","Crotalaria vasculosa","Magnoliophyta","Fabales","Crotalaria vasculosa","Fabaceae","Crotalaria","vasculosa","herb","17"
"7527","Crotalaria vatkeana","Magnoliophyta","Fabales","Crotalaria vatkeana","Fabaceae","Crotalaria","vatkeana","herb","9"
"7528","Crotalaria verdcourtii","Magnoliophyta","Fabales","Crotalaria verdcourtii","Fabaceae","Crotalaria","verdcourtii","herb","1"
"7529","Crotalaria vialis","Magnoliophyta","Fabales","Crotalaria vialis","Fabaceae","Crotalaria","vialis","herb","1"
"7530","Crotalaria virgulata","Magnoliophyta","Fabales","Crotalaria virgulata","Fabaceae","Crotalaria","virgulata","shrub","15"
"7531","Crotalaria virgulata","Magnoliophyta","Fabales","Crotalaria virgulata subsp. grantiana","Fabaceae","Crotalaria","virgulata","shrub","15"
"7532","Crotalaria virgulata","Magnoliophyta","Fabales","Crotalaria virgulata subsp. virgulata","Fabaceae","Crotalaria","virgulata","shrub","15"
"7533","Crotalaria virgulata","Magnoliophyta","Fabales","Crotalaria virgulata subsp. forbesii","Fabaceae","Crotalaria","virgulata","shrub","15"
"7534","Crotalaria virgulata","Magnoliophyta","Fabales","Crotalaria virgulata subsp. pauciflora","Fabaceae","Crotalaria","virgulata","shrub","15"
"7535","Crotalaria warfae","Magnoliophyta","Fabales","Crotalaria warfae","Fabaceae","Crotalaria","warfae","shrub","1"
"7536","Crotalaria welwitschii","Magnoliophyta","Fabales","Crotalaria welwitschii","Fabaceae","Crotalaria","welwitschii","herb","2"
"7537","Crotalaria xanthoclada","Magnoliophyta","Fabales","Crotalaria xanthoclada","Fabaceae","Crotalaria","xanthoclada","shrub","16"
"7538","Crotalaria youngii","Magnoliophyta","Fabales","Crotalaria youngii","Fabaceae","Crotalaria","youngii","herb","2"
"7539","Croton alienus","Magnoliophyta","Malpighiales","Croton alienus","Euphorbiaceae","Croton","alienus","shrub","15"
"7540","Croton aubrevillei","Magnoliophyta","Malpighiales","Croton aubrevillei","Euphorbiaceae","Croton","aubrevillei","tree","11"
"7541","Croton barotsensis","Magnoliophyta","Malpighiales","Croton barotsensis","Euphorbiaceae","Croton","barotsensis","tree","1"
"7542","Croton brieyi","Magnoliophyta","Malpighiales","Croton brieyi","Euphorbiaceae","Croton","brieyi","tree","8"
"7543","Croton congensis","Magnoliophyta","Malpighiales","Croton congensis","Euphorbiaceae","Croton","congensis","tree","3"
"7544","Croton dichogamus","Magnoliophyta","Malpighiales","Croton dichogamus","Euphorbiaceae","Croton","dichogamus","shrub","33"
"7545","Croton dictyophlebodes","Magnoliophyta","Malpighiales","Croton dictyophlebodes","Euphorbiaceae","Croton","dictyophlebodes","tree","5"
"7546","Croton dispar","Magnoliophyta","Malpighiales","Croton dispar","Euphorbiaceae","Croton","dispar","liana","4"
"7547","Croton draconopsis","Magnoliophyta","Malpighiales","Croton draconopsis","Euphorbiaceae","Croton","draconopsis","tree","4"
"7548","Croton dybowskii","Magnoliophyta","Malpighiales","Croton dybowskii","Euphorbiaceae","Croton","dybowskii","shrub","17"
"7549","Croton gratissimus","Magnoliophyta","Malpighiales","Croton gratissimus var. subgratissimus","Euphorbiaceae","Croton","gratissimus","tree","84"
"7550","Croton gratissimus","Magnoliophyta","Malpighiales","Croton gratissimus var. gratissimus","Euphorbiaceae","Croton","gratissimus","tree","84"
"7551","Croton gratissimus","Magnoliophyta","Malpighiales","Croton gratissimus","Euphorbiaceae","Croton","gratissimus","tree","84"
"7552","Croton haumanianus","Magnoliophyta","Malpighiales","Croton haumanianus","Euphorbiaceae","Croton","haumanianus","tree","117"
"7553","Croton jansii","Magnoliophyta","Malpighiales","Croton jansii","Euphorbiaceae","Croton","jansii","tree","2"
"7554","Croton jatrophoides","Magnoliophyta","Malpighiales","Croton jatrophoides","Euphorbiaceae","Croton","jatrophoides","tree","11"
"7555","Croton kilwae","Magnoliophyta","Malpighiales","Croton kilwae","Euphorbiaceae","Croton","kilwae","shrub","7"
"7556","Croton laciniatistylus","Magnoliophyta","Malpighiales","Croton laciniatistylus","Euphorbiaceae","Croton","laciniatistylus","tree","8"
"7557","Croton leuconeurus","Magnoliophyta","Malpighiales","Croton leuconeurus subsp. leuconeurus","Euphorbiaceae","Croton","leuconeurus","tree","5"
"7558","Croton leuconeurus","Magnoliophyta","Malpighiales","Croton leuconeurus subsp. mossambicensis","Euphorbiaceae","Croton","leuconeurus","tree","5"
"7559","Croton leuconeurus","Magnoliophyta","Malpighiales","Croton leuconeurus","Euphorbiaceae","Croton","leuconeurus","tree","5"
"7560","Croton longipedicellatus","Magnoliophyta","Malpighiales","Croton longipedicellatus","Euphorbiaceae","Croton","longipedicellatus","shrub","18"
"7561","Croton longipedicellatus","Magnoliophyta","Malpighiales","Croton longipedicellatus var. glabrescens","Euphorbiaceae","Croton","longipedicellatus","shrub","18"
"7562","Croton longipedicellatus","Magnoliophyta","Malpighiales","Croton longipedicellatus subsp. austrotanzanicus","Euphorbiaceae","Croton","longipedicellatus","shrub","18"
"7563","Croton longiracemosus","Magnoliophyta","Malpighiales","Croton longiracemosus","Euphorbiaceae","Croton","longiracemosus","tree","18"
"7564","Croton loukandensis","Magnoliophyta","Malpighiales","Croton loukandensis","Euphorbiaceae","Croton","loukandensis","tree","1"
"7565","Croton macrostachyus","Magnoliophyta","Malpighiales","Croton macrostachyus","Euphorbiaceae","Croton","macrostachyus","tree","117"
"7566","Croton madandensis","Magnoliophyta","Malpighiales","Croton madandensis","Euphorbiaceae","Croton","madandensis","tree","2"
"7567","Croton mayumbensis","Magnoliophyta","Malpighiales","Croton mayumbensis","Euphorbiaceae","Croton","mayumbensis","tree","27"
"7568","Croton megalobotryoides","Magnoliophyta","Malpighiales","Croton megalobotryoides","Euphorbiaceae","Croton","megalobotryoides","shrub","2"
"7569","Croton megalobotrys","Magnoliophyta","Malpighiales","Croton megalobotrys","Euphorbiaceae","Croton","megalobotrys","tree","22"
"7570","Croton megalocarpoides","Magnoliophyta","Malpighiales","Croton megalocarpoides","Euphorbiaceae","Croton","megalocarpoides","tree","13"
"7571","Croton megalocarpus","Magnoliophyta","Malpighiales","Croton megalocarpus","Euphorbiaceae","Croton","megalocarpus","tree","17"
"7572","Croton membranaceus","Magnoliophyta","Malpighiales","Croton membranaceus","Euphorbiaceae","Croton","membranaceus","shrub","9"
"7573","Croton menyharthii","Magnoliophyta","Malpighiales","Croton menyharthii","Euphorbiaceae","Croton","menyharthii","shrub","27"
"7574","Croton mubango","Magnoliophyta","Malpighiales","Croton mubango","Euphorbiaceae","Croton","mubango","tree","16"
"7575","Croton nigritanus","Magnoliophyta","Malpighiales","Croton nigritanus","Euphorbiaceae","Croton","nigritanus","shrub","19"
"7576","Croton oligandrus","Magnoliophyta","Malpighiales","Croton oligandrus","Euphorbiaceae","Croton","oligandrus","tree","26"
"7577","Croton paxianus","Magnoliophyta","Malpighiales","Croton paxianus","Euphorbiaceae","Croton","paxianus","","1"
"7578","Croton penduliflorus","Magnoliophyta","Malpighiales","Croton penduliflorus","Euphorbiaceae","Croton","penduliflorus","tree","10"
"7579","Croton poggei","Magnoliophyta","Malpighiales","Croton poggei","Euphorbiaceae","Croton","poggei","tree","4"
"7580","Croton polytrichus","Magnoliophyta","Malpighiales","Croton polytrichus","Euphorbiaceae","Croton","polytrichus","shrub","19"
"7581","Croton pseudopulchellus","Magnoliophyta","Malpighiales","Croton pseudopulchellus","Euphorbiaceae","Croton","pseudopulchellus","shrub","46"
"7582","Croton pynaertii","Magnoliophyta","Malpighiales","Croton pynaertii","Euphorbiaceae","Croton","pynaertii","liana","5"
"7583","Croton pyrifolius","Magnoliophyta","Malpighiales","Croton pyrifolius","Euphorbiaceae","Croton","pyrifolius","tree","1"
"7584","Croton scarciesii","Magnoliophyta","Malpighiales","Croton scarciesii","Euphorbiaceae","Croton","scarciesii","shrub","18"
"7585","Croton scheffleri","Magnoliophyta","Malpighiales","Croton scheffleri","Euphorbiaceae","Croton","scheffleri","shrub","21"
"7586","Croton schimperianus","Magnoliophyta","Malpighiales","Croton schimperianus","Euphorbiaceae","Croton","schimperianus","shrub","5"
"7587","Croton somalensis","Magnoliophyta","Malpighiales","Croton somalensis","Euphorbiaceae","Croton","somalensis","shrub","3"
"7588","Croton steenkampianus","Magnoliophyta","Malpighiales","Croton steenkampianus","Euphorbiaceae","Croton","steenkampianus","shrub","6"
"7589","Croton stelluliferus","Magnoliophyta","Malpighiales","Croton stelluliferus","Euphorbiaceae","Croton","stelluliferus","tree","2"
"7590","Croton sylvaticus","Magnoliophyta","Malpighiales","Croton sylvaticus","Euphorbiaceae","Croton","sylvaticus","tree","84"
"7591","Croton talaeporos","Magnoliophyta","Malpighiales","Croton talaeporos","Euphorbiaceae","Croton","talaeporos","tree","13"
"7592","Croton tchibangensis","Magnoliophyta","Malpighiales","Croton tchibangensis","Euphorbiaceae","Croton","tchibangensis","tree","3"
"7593","Croton wellensii","Magnoliophyta","Malpighiales","Croton wellensii","Euphorbiaceae","Croton","wellensii","tree","8"
"7594","Crotonogyne caterviflora","Magnoliophyta","Malpighiales","Crotonogyne caterviflora","Euphorbiaceae","Crotonogyne","caterviflora","shrub","111"
"7595","Crotonogyne gabunensis","Magnoliophyta","Malpighiales","Crotonogyne gabunensis","Euphorbiaceae","Crotonogyne","gabunensis","shrub","116"
"7596","Crotonogyne giorgii","Magnoliophyta","Malpighiales","Crotonogyne giorgii","Euphorbiaceae","Crotonogyne","giorgii","tree","34"
"7597","Crotonogyne impedita","Magnoliophyta","Malpighiales","Crotonogyne impedita","Euphorbiaceae","Crotonogyne","impedita","tree","5"
"7598","Crotonogyne manniana","Magnoliophyta","Malpighiales","Crotonogyne manniana","Euphorbiaceae","Crotonogyne","manniana","shrub","70"
"7599","Crotonogyne manniana","Magnoliophyta","Malpighiales","Crotonogyne manniana subsp. congolensis","Euphorbiaceae","Crotonogyne","manniana","shrub","70"
"7600","Crotonogyne parvifolia","Magnoliophyta","Malpighiales","Crotonogyne parvifolia","Euphorbiaceae","Crotonogyne","parvifolia","shrub","7"
"7601","Crotonogyne poggei","Magnoliophyta","Malpighiales","Crotonogyne poggei","Euphorbiaceae","Crotonogyne","poggei","shrub","64"
"7602","Crotonogyne preussii","Magnoliophyta","Malpighiales","Crotonogyne preussii","Euphorbiaceae","Crotonogyne","preussii","tree","39"
"7603","Crotonogyne strigosa","Magnoliophyta","Malpighiales","Crotonogyne strigosa","Euphorbiaceae","Crotonogyne","strigosa","shrub","20"
"7604","Crotonogyne zenkeri","Magnoliophyta","Malpighiales","Crotonogyne zenkeri","Euphorbiaceae","Crotonogyne","zenkeri","shrub","27"
"7605","Crotonogynopsis akeassii","Magnoliophyta","Malpighiales","Crotonogynopsis akeassii","Euphorbiaceae","Crotonogynopsis","akeassii","tree","4"
"7606","Crotonogynopsis usambarica","Magnoliophyta","Malpighiales","Crotonogynopsis usambarica","Euphorbiaceae","Crotonogynopsis","usambarica","shrub","15"
